iter	Passed	Remaining
0	12	1239
1	21	1052
2	33	1080
3	39	949
4	44	838
5	47	747
6	50	677
7	54	627
8	57	584
9	61	551
10	63	512
11	65	481
12	67	451
13	68	423
14	70	399
15	72	378
16	73	358
17	75	343
18	77	328
19	79	316
20	80	304
21	82	293
22	84	281
23	85	271
24	87	262
25	89	253
26	90	244
27	91	236
28	93	228
29	94	220
30	95	213
31	97	206
32	98	199
33	99	193
34	101	187
35	102	182
36	104	177
37	105	172
38	107	168
39	109	163
40	110	159
41	111	153
42	112	149
43	114	145
44	115	141
45	116	136
46	118	133
47	119	129
48	120	125
49	122	122
50	123	118
51	124	115
52	125	111
53	127	108
54	128	104
55	129	101
56	130	98
57	132	95
58	133	93
59	135	90
60	136	87
61	138	84
62	139	82
63	141	79
64	143	77
65	144	74
66	146	72
67	147	69
68	149	67
69	151	64
70	152	62
71	154	59
72	155	57
73	157	55
74	159	53
75	161	51
76	163	48
77	164	46
78	166	44
79	167	41
80	169	39
81	170	37
82	172	35
83	173	33
84	175	30
85	177	28
86	178	26
87	180	24
88	181	22
89	183	20
90	184	18
91	186	16
92	188	14
93	189	12
94	191	10
95	192	8
96	193	5
97	195	3
98	197	1
99	198	0
