iter	Passed	Remaining
0	142	142761
1	144	71881
2	145	48231
3	146	36445
4	147	29329
5	148	24629
6	149	21229
7	150	18680
8	151	16693
9	152	15114
10	153	13822
11	154	12753
12	156	11845
13	157	11061
14	158	10380
15	159	9838
16	161	9358
17	163	8893
18	164	8503
19	165	8122
20	167	7801
21	169	7553
22	171	7280
23	172	7015
24	174	6801
25	175	6582
26	177	6385
27	178	6190
28	179	6011
29	181	5880
30	183	5722
31	184	5586
32	186	5456
33	187	5320
34	188	5204
35	189	5087
36	191	4976
37	192	4882
38	194	4783
39	195	4688
40	196	4589
41	197	4509
42	200	4452
43	201	4384
44	203	4317
45	205	4251
46	206	4180
47	207	4115
48	209	4069
49	210	4005
50	211	3942
51	212	3881
52	214	3833
53	216	3787
54	217	3731
55	218	3678
56	219	3626
57	220	3583
58	221	3536
59	222	3489
60	224	3452
61	226	3420
62	227	3376
63	228	3334
64	228	3293
65	230	3254
66	231	3216
67	231	3179
68	232	3142
69	234	3113
70	235	3082
71	236	3047
72	237	3014
73	238	2982
74	239	2950
75	240	2920
76	241	2900
77	243	2874
78	244	2847
79	245	2820
80	246	2793
81	247	2773
82	248	2745
83	249	2723
84	250	2699
85	252	2678
86	253	2655
87	254	2633
88	255	2613
89	256	2595
90	257	2574
91	259	2561
92	260	2542
93	261	2522
94	263	2508
95	264	2487
96	265	2467
97	266	2450
98	267	2431
99	268	2413
100	269	2396
101	270	2378
102	271	2361
103	272	2345
104	273	2328
105	274	2312
106	275	2296
107	276	2283
108	277	2269
109	278	2255
110	279	2240
111	280	2225
112	281	2212
113	282	2198
114	283	2183
115	284	2169
116	285	2154
117	286	2139
118	287	2126
119	288	2113
120	289	2101
121	289	2086
122	290	2074
123	291	2061
124	292	2048
125	293	2036
126	294	2023
127	295	2012
128	296	2001
129	297	1991
130	298	1980
131	299	1969
132	300	1958
133	301	1947
134	302	1937
135	303	1926
136	304	1917
137	305	1907
138	306	1897
139	307	1887
140	308	1878
141	308	1867
142	310	1858
143	311	1853
144	312	1845
145	314	1837
146	315	1829
147	316	1820
148	317	1811
149	318	1803
150	319	1794
151	320	1786
152	321	1779
153	322	1771
154	323	1764
155	324	1755
156	325	1747
157	326	1739
158	327	1732
159	328	1724
160	329	1715
161	330	1708
162	331	1701
163	332	1694
164	333	1686
165	334	1679
166	335	1673
167	336	1665
168	337	1658
169	338	1651
170	339	1643
171	340	1638
172	341	1631
173	342	1625
174	343	1618
175	344	1611
176	345	1605
177	346	1598
178	347	1592
179	348	1585
180	348	1579
181	349	1572
182	350	1565
183	351	1559
184	352	1552
185	353	1545
186	354	1539
187	355	1533
188	355	1527
189	356	1521
190	357	1515
191	358	1509
192	359	1503
193	360	1497
194	361	1491
195	362	1486
196	363	1480
197	364	1474
198	364	1468
199	365	1463
200	366	1457
201	367	1451
202	368	1446
203	369	1440
204	370	1435
205	371	1430
206	371	1424
207	372	1419
208	373	1414
209	374	1409
210	375	1404
211	376	1398
212	377	1393
213	378	1388
214	378	1383
215	379	1378
216	380	1373
217	381	1369
218	382	1364
219	383	1359
220	384	1354
221	385	1349
222	385	1344
223	387	1340
224	387	1336
225	388	1331
226	389	1327
227	390	1322
228	391	1318
229	392	1313
230	393	1309
231	394	1305
232	395	1301
233	396	1297
234	397	1292
235	398	1289
236	399	1285
237	400	1280
238	401	1276
239	401	1272
240	403	1269
241	403	1264
242	404	1261
243	405	1257
244	406	1253
245	407	1248
246	408	1244
247	409	1240
248	410	1236
249	410	1232
250	411	1229
251	412	1225
252	413	1221
253	414	1217
254	415	1214
255	416	1211
256	417	1207
257	418	1203
258	419	1199
259	420	1196
260	421	1193
261	422	1189
262	423	1185
263	423	1181
264	424	1178
265	425	1175
266	426	1171
267	427	1168
268	428	1164
269	429	1161
270	430	1157
271	431	1154
272	432	1151
273	433	1148
274	434	1145
275	435	1141
276	436	1138
277	437	1135
278	438	1132
279	439	1129
280	439	1125
281	440	1122
282	441	1119
283	442	1116
284	443	1113
285	444	1110
286	445	1106
287	446	1103
288	447	1100
289	448	1097
290	449	1094
